timestamp,className,linesOfCode,dependencies,methods,eyeFixationDuration
20240215080312300,ch.unisg.app1.domain.Entity1,13,4,8,351.0
20240215080313100,ch.unisg.app1.domain.Entity1,13,4,8,752.0
20240215080313200,ch.unisg.app1.domain.Entity1,13,4,8,123.0
20240215080313600,ch.unisg.app1.domain.Entity1,13,4,8,361.0
20240215080313700,ch.unisg.app1.domain.Entity1,13,4,8,313.0
20240215080312110,ch.unisg.app1.domain.Entity2,11,2,9,146.0
20240215080312610,ch.unisg.app1.domain.Entity2,11,2,9,724.0
20240215080312910,ch.unisg.app1.domain.Entity2,11,2,9,858.0
20240215080313110,ch.unisg.app1.domain.Entity2,11,2,9,267.0
20240215080313410,ch.unisg.app1.domain.Entity2,11,2,9,481.0
20240215080313610,ch.unisg.app1.domain.Entity2,11,2,9,573.0
